"","IDEOLOGIA","GOSTA_BOLSONARO","GOSTA_PT","GOSTA_LULA","INTERV_MIL_CRIME","INTERV_MIL_CORRUPCAO","INTERV_MIL_INST_POL","cluster","membership_cluster1","membership_cluster2","membership_cluster3"
"51",10,0,10,10,2,2,2,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"52",5,1,7,10,2,2,1,3,0.077500068021449,0.366468352785861,0.55603157919269
"53",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"54",5,0,5,5,2,2,2,3,0.0707433876848691,0.398343040195579,0.530913572119552
"55",3,0,5,7,2,2,2,2,0.0303336817392185,0.853667235666579,0.115999082594203
"56",1,0,5,7,2,2,2,2,0.0018445236898459,0.993375609038411,0.00477986727174346
"57",0,0,9,9,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"58",7,8,0,0,1,2,2,1,0.806395505103341,0.0615509621406489,0.132053532756011
"59",3,2,8,9,1,1,2,2,0.0521898371480172,0.790894557094837,0.156915605757146
"60",7,8,2,1,1,1,2,1,0.806395505103341,0.0615509621406489,0.132053532756011
"61",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"62",8,7,3,3,2,1,2,1,0.790358606609221,0.0507306537055148,0.158910739685265
"63",5,3,5,3,2,2,2,3,0.134041585002754,0.325953365517168,0.540005049480079
"64",10,2,7,8,2,2,2,3,0.0773254207691387,0.0403850227277287,0.882289556503133
"65",10,10,0,0,2,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"66",5,1,7,7,2,2,2,3,0.077500068021449,0.366468352785861,0.55603157919269
"67",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"68",9,9,1,1,1,1,1,1,0.997632632401428,0.000678227919121117,0.00168913967945149
"69",4,4,7,8,2,1,2,2,0.171166099005819,0.461947482239391,0.36688641875479
"70",0,1,8,9,2,2,2,2,0.0096485042041423,0.970067274480514,0.0202842213153439
"71",0,0,10,10,1,1,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"72",5,4,3,5,2,2,2,3,0.195220973867607,0.309805566138108,0.494973459994285
"73",8,8,0,0,1,1,1,1,0.908994400780259,0.025452049081644,0.065553550138097
"74",5,9,2,0,1,1,2,1,0.641005342956574,0.157427393800469,0.201567263242958
"75",8,9,3,3,1,1,2,1,0.953197577198148,0.0145428652024663,0.0322595575993861
"76",0,0,8,0,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"77",0,0,10,10,1,1,1,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"78",10,0,0,10,2,2,1,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"79",10,0,10,10,2,2,1,3,0.0632127688785635,0.0550026674258473,0.881784563695589
"80",1,0,8,8,1,1,1,2,0.0018445236898459,0.993375609038411,0.00477986727174346
"81",0,1,10,10,1,1,1,2,0.0096485042041423,0.970067274480514,0.0202842213153439
"82",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"83",6,0,10,10,2,2,2,3,0.0589263295004171,0.192926192079372,0.748147478420211
"84",4,10,0,0,2,1,2,1,0.585950257629079,0.202458423028029,0.211591319342891
"85",9,10,10,10,2,2,1,1,0.982832016164015,0.00538056526105506,0.01178741857493
